Select,Motivation_Statement,Motivation_Type,Description,Underlying_Need_Or_Desire,Strength_Or_Importance_Indication,Source_Document_Reference,Evidence_Snippets,Keywords
true,"To achieve clear, sensitive, and glowing skin.",Functional,"Users are motivated by the desire to improve their skin's appearance, especially targeting issues like redness, sensitivity, and dullness, through gentle and effective skincare products.","Skin health, confidence, and comfort.",Critical driver for skincare choices.,"ng face cleanser, skincare for sensitive skin, Dot and Key skincare, viral skincare products, 2025 beauty trends, gentle facewash for redness, cica facewash review, best facewash for sensitive skin, skincare routine essentials, clean beauty facewash, soothing skincare products, cica gel facewash, Dot and Key products, sensitive skin solutions, trendy facewash 2025, dewy glow skincare, calming cleanser for face, skincare for redness, beauty products for sensitive skin, viral beauty trends, Dot and Key facewash, Kattrina, Kattrina Dey","['gentle facewash for redness', 'best facewash for sensitive skin', 'skincare for redness']","['sensitive skin', 'gentle cleanser', 'redness', 'calming', 'skincare routine']"
true,To practice effective double cleansing for healthier skin.,Functional,"Users are driven by the belief that double cleansing removes impurities like pollution, sebum, and residues, which is essential for maintaining skin health, especially for sensitive or reactive skin.","Skin cleanliness, health, and protection.",Very important; emphasized as a foundational skincare step.,"comment by Anaïs DA SILVA, transcript of the post about double cleansing, description of Terravita products","[""double cleansing, si vous plait que vous m'a qu'il y ait ou non"", 'Faire un tout bon étoilage tous les soirs votre pauvre, vous dirait merci', 'tout le monde doit pratiquer le double nettoyage']","['double cleansing', 'pollution removal', 'skin health', 'gentle skincare', 'routine']"
true,To look youthful and slow down aging signs.,Emotional,"Users seek to maintain a youthful appearance by following anti-aging routines, therapies, and healthy lifestyle choices, driven by the desire to feel attractive and confident about their age.","Security in appearance, self-esteem, and vitality.",Strong; a primary concern for many users.,"post about reversing age, transcript of user comments on aging, description of skincare routines","['how I reversed my age', 'aging like a fine wine', 'keep aging gracefully']","['anti-aging', 'youthful skin', 'regimen', 'confidence', 'beauty']"
true,To feel confident and appreciated through skincare and beauty routines.,Social,"Users are motivated by the desire to be perceived as attractive, youthful, and well-maintained by others, which enhances their social self-perception and confidence.","Belonging, social acceptance, and self-image.",Important; influences routine choices and product preferences.,"comments on user appearance, comments on skincare results, social media interactions","['You actually look 25', 'peau qui viez trop vite', 'You look beautiful but def not 25']","['confidence', 'self-image', 'perception', 'beauty', 'social']"
true,To take control of skincare and health for overall well-being.,Emotional,"Users are driven by a desire for self-empowerment, taking charge of their health and appearance through holistic routines, including nutrition, therapies, and skincare.","Control, security, and holistic health.",Strong; fundamental for lifestyle choices.,"post about holistic anti-aging routine, comments about health and wellness","['healthy skin is an inside job', 'eat my youth', 'parasite, liver & kidney cleanse']","['wellness', 'control', 'holistic', 'health', 'self-care']"
true,To achieve a sense of accomplishment by successfully launching and being recognized in major retail stores.,Functional,"The user is driven by the desire to see their brand succeed and gain widespread recognition, which provides validation and a feeling of achievement.","Recognition, success, validation",Critical for confidence and validation,File with interview about Sephora recognition,"['we got into every single Sephora nationwide', 'makes me want to cry', 'it was such a moment saying that we got into']","['brand recognition', 'success', 'achievement', 'validation', 'retail']"
true,To feel empowered and inspired by stories of female leadership and entrepreneurship.,Emotional,"The user finds motivation in stories of women who have achieved success, which fuels their own confidence and ambition.","Inspiration, empowerment, belonging",Strong emotional driver,Comments praising Laney and Saie,"['Ugh she’s such a girl boss I love her', 'So inspiring!👏👏', 'love this ❤️']","['empowerment', 'inspiration', 'female leadership', 'motivation']"
true,To promote personal and environmental health by avoiding toxic and harmful products.,Functional,The individual is motivated by the desire to reduce exposure to chemicals and toxins in everyday products to protect their health and well-being.,"Safety, health, control",Critical for health and safety,Eva ✨ Cycle & Hormones transcript,"['les lois très peu protectrices des consommateurs', 'produits toxiques ... qui sont fortement allergène', 'perturbateurs endocriniens']","['toxins', 'health', 'safety', 'non-toxic', 'hormonal health']"
true,"To find natural, safe alternatives that do not compromise health or effectiveness.",Functional,"The user seeks products free from harmful chemicals, prioritizing natural and organic ingredients for health and efficacy.","Security, health, natural lifestyle",Strong and growing concern,Amina 🌱Nutrition | Fitness | Lifestyle transcript,"['prefer un gelintin natural, cu ingredienta organice', 'nu asme folosi autobronzante le clasice, ce are mai multe conțin parfumur sintetice', 'se remineralizare, sau abam buteli atan sticle, nu plastic']","['natural', 'organic', 'chemical-free', 'health', 'clean ingredients']"
true,To maintain youthful appearance and health through proactive skincare and lifestyle choices.,Emotional,"The individual is motivated by the desire to age gracefully and healthily, emphasizing self-care and preventative measures.","Beauty, health, control, longevity",High priority,Post about turning 40 and anti-aging,"['I’ve never felt more glowy, grounded, and strong', 'skip the alcohol... collagen, sleep, and peace', 'invest in your skincare, not injections']","['anti-aging', 'skincare', 'wellness', 'longevity', 'self-care']"
true,"To simplify skincare routines by using high-quality, effective products that deliver visible results.",Functional,"The user desires an efficient skincare routine that produces noticeable improvements with minimal effort, emphasizing quality and simplicity.","Efficiency, effectiveness, confidence",Moderate to high,Yana2Gorbacheva skincare routine post,"['Hochwertige koreanische Gesichtsmasken', 'regulär benutzt hyaluronic acid, retinol, niacinamide, collagen', 'Hautpflege, die einfach ist aber wirksam']","['skincare routine', 'efficacy', 'simplicity', 'quality', 'results']"
true,To keep my hair moisturized and healthy during hot weather,Functional,"The user prioritizes moisture to maintain curl definition and prevent dryness, especially in summer conditions, driven by the need for healthy, well-maintained hair.",Efficiency in hair care and physical comfort,Critical for hair health,transcript,"['moisture is my number one priority', 'keep their tension', 'moisture has is my number one priority']","['moisture', 'hair health', 'summer', 'curl']"
true,To relax and create a calming environment for self-care,Emotional,"The user seeks to unwind after a stressful week by surrounding themselves with soothing scents, driven by the desire to enhance mental well-being and relaxation.",Relief from stress and emotional comfort,Important for emotional well-being,transcript,"['relax after a busy, tiresome and very hot week', 'surround yourself with beautiful, mind calming, mood boosting scents']","['relaxation', 'self-care', 'scents', 'stress relief']"
true,To feel confident and bold through signature scents,Emotional,"The user is motivated by the desire to express confidence and individuality through distinctive fragrances, associated with being bold and self-assured.",Self-expression and personal confidence,Strong driver for choosing fragrances,transcript,"['being bold, confident and ready to take on the world', 'sophisticated signature scents']","['confidence', 'signature scent', 'bold', 'personal expression']"
true,To protect my family from toxins and harmful chemicals,Functional,"The user actively chooses products made from natural, organic, and non-toxic ingredients to ensure safety and health for their family, driven by a desire to avoid chemicals.",Safety and health,Highly important,transcript,"['candles made out of beeswax because my wife says that other candles are toxic', 'glass tubaware because my wife says that plastic tubaware puts microplastics in our food', 'organic cotton bedding because my wife says that other bedding has synthetic chemicals']","['non-toxic', 'organic', 'chemical-free', 'safety']"
true,"To achieve healthy, well-hydrated skin without heavy perfumes",Functional,"The user seeks skincare products that provide deep hydration and nourishment with natural ingredients, avoiding heavy scents and synthetic chemicals, rooted in the need for safe, effective skincare.",Skin health and safety,Important for skin wellness,transcript,"['treat dry skin without heavy perfumes', 'intensely moisturize face and body', 'heavy scents']","['hydration', 'natural skincare', 'safety', 'sensitive skin']"
true,To heal and improve skin scars and injuries safely using natural remedies,Functional,"The user is motivated to use natural products like tallow balms to aid in skin healing, driven by the desire for effective, chemical-free healing solutions especially for scars and burns.",Effective healing and safety,Critical for health and recovery,transcript,"['product recommended by burn unit at SickKids Hospital', 'balm for sunburn', 'healing scars and wounds']","['healing', 'natural remedies', 'scar', 'burn']"
true,To feel attractive and confident through aesthetic makeup looks,Emotional,"The user is motivated by the desire for personal beauty and self-confidence, expressing themselves creatively through makeup that enhances their appearance.",Self-esteem and aesthetic expression,Moderate to high importance,transcript,"['Maquillaje bonito', 'beautiful makeup look', 'aesthetic']","['beauty', 'self-expression', 'makeup', 'confidence']"
true,To care for my health and well-being through natural and safe skincare choices,Emotional,"Users are driven by a desire to avoid harmful chemicals and seek products that promote health and safety, especially concerning ingredients like oxybenzone and octinoxate in sunscreens.","Safety, health security, peace of mind",Critical driver,3688995600548164709,"['Many conventional sunscreens contain harmful chemicals like oxybenzone and octinoxate—linked to hormone disruption and potentially increased breast cancer risk.', 'That’s why BCPP elevates safer sunscreen options, made from companies that care about your health']","['health', 'safety', 'natural ingredients', 'harmful chemicals', 'skincare']"
true,"To achieve radiant, glowing skin and look attractive",Emotional,"Users want to enhance their appearance and boost self-confidence by using products that make their skin look bright, clear, and glowing.","Self-esteem, attractiveness, acceptance",Major motivation,3692149490804068798,"['I’ve got some use of necrania values. So in three sticks, we’ll use them. I’ve got two shades of shade of shade. And can you see how easily that glides? At contours, your face will melt out of definition. And now we’ll just blend it.', 'It’s a healthy flush. It’s naturally blush. And finally, it’s time for that glow. So I’m using a bond to shine. Highlightestick. It’s not a big lipid. It has a soft, dv glow. And it’s applied for instantly. You get that glowing effect.']","['glow', 'beauty', 'makeup', 'confidence', 'radiance']"
true,To maintain and improve my hair health and appearance at affordable prices,Functional,"Users seek effective hair care solutions to address issues like scalp flakiness, oily roots, and hair growth, motivated by a desire for healthy, beautiful hair without high costs.","Efficiency, cost savings, hair health",Strong driver,3689467120227694111,"['I have access to the discounts and I’m also here to guide you to use the right products.', 'If you want to get rid of a flakey scalp, grow mermaid hair, reduce oily roots, any hair problems in your gal.']","['hair care', 'growth', 'discounts', 'scalp health', 'affordable']"
true,"To feel more confident and attractive through natural, minimal makeup routines",Emotional,"Users are motivated by a desire for quick, easy, and natural-looking makeup that enhances their appearance without heavy application, fostering confidence and a sense of simplicity.","Self-confidence, convenience, natural beauty",Major consideration,3680937563813998371,"['One of the easiest, fastest, and most natural-looking makeup routines I’ve ever tried.', 'If you love quick makeup, you NEED this!']","['makeup', 'natural', 'quick', 'glow', 'convenience']"
true,To experience a sense of accomplishment and self-care by maintaining a healthy skincare routine,Emotional,"Users are driven by the desire to improve their skin’s appearance and health, feeling proud and confident when using effective skincare products and routines.","Self-care, achievement, confidence",Important driver,3689479445657797646,"['Je suis bluffé par le résultat sur mes cheveux colorés ✨', 'Il lave en douceur sans alourdir. Sa texture est légère, mousse juste ce qu’il faut, et surtout… son parfum floral est incroyable.']","['skincare', 'confidence', 'self-care', 'beauty', 'results']"
true,"To protect my skin and health by choosing eco-friendly, safe sunscreens",Functional,"Users seek effective sun protection that avoids harmful chemicals, motivated by health concerns and environmental responsibility.","Safety, health, environmental responsibility",Strong driver,3688995600548164709,"['Many conventional sunscreens contain harmful chemicals like oxybenzone and octinoxate—linked to hormone disruption and potentially increased breast cancer risk.', 'That’s why BCPP elevates safer sunscreen options, made from companies that care about your health']","['sunscreen', 'health', 'safety', 'eco-friendly', 'chemical-free']"
true,To ensure my child's safety while playing with makeup,Functional,"The user is concerned about the toxins and hormone disruptors in products not made for children, driven by the need to protect their child's health and well-being.",Safety and health security for their child,Critical,first excerpt,"['nds were never created with kids in mind.', 'their developing bodies absorb more, detox less, and are more vulnerable to hormone disruption.', 'make sure it’s made for them—without all the toxins that don’t belong on anyone’s skin, let alone a child’s.']","['child safety', 'non-toxic', 'toxin-free', 'kids', 'health']"
true,"To achieve healthy, shiny, and well-maintained hair using natural remedies",Functional,"The user wants to improve hair health and appearance through natural, effective treatments like aloe vera, aiming to promote growth, control dandruff, and enhance shine.",Healthy hair and confidence in appearance,Strong,second excerpt,"['beneficios de la sábila para el cabello', 'hidrata profundamente, estimula el crecimiento, controla la caspa, fortalece y previene la caída, aporta brillo y suavidad.']","['hair health', 'natural remedies', 'aloe vera', 'growth', 'shine']"
true,To indulge in self-care and achieve a summer glow,Emotional,"The user seeks relaxation, confidence, and a sense of well-being through self-care routines, emphasizing a radiant appearance and enjoying leisure moments.","Relaxation, confidence, aesthetic satisfaction",Moderate,third excerpt,"['Selfcare meets Summer Glow', 'gives a feeling of relaxation and boosting confidence with skincare products.']","['self-care', 'glow', 'confidence', 'relaxation', 'summer']"
true,To maintain a youthful appearance without invasive procedures,Emotional,"The user prefers natural anti-aging routines and biohacks over Botox or fillers, driven by the desire to look and feel young through consistent, non-invasive methods.","Youthfulness, self-confidence, natural beauty",Critical,fourth excerpt,"['I swear I look and feel better than I did in my 20s — no injections, no filters, no BS.', 'just the right supplements, skincare, and biohacks that actually work.']","['anti-aging', 'natural', 'youthful', 'skincare', 'biohacks']"
true,To enjoy beauty and skincare products that deliver visible results and feel luxurious,Emotional,"The user is motivated by the desire for effective, high-quality beauty products that enhance appearance and provide a satisfying self-care experience.",Aesthetic enhancement and self-satisfaction,Moderate,fifth excerpt,"['Starting off the new week right with my skin care regimen!', 'GlowUpJourney #SkincareGoals #HealthySkin']","['skincare', 'glow', 'self-care', 'results', 'luxury']"
true,"To look attractive and polished with perfect makeup, especially for special occasions",Social,"The user aims to present a confident, attractive appearance using carefully selected makeup techniques, driven by social perception and personal image.","Self-presentation, social approval",Strong,sixth excerpt,"['رژ قرمز، وقتی به\u200cجا و با دقت استفاده بشه، نه تنها جسور نیست، بلکه نجیب\u200cترین انتخابه.', 'همه\u200cچیز حساب\u200cشده\u200cست؛ از تناژ پوست تا بالانس رنگی چشم\u200cها و اون قرمز دقیق…']","['makeup', 'beauty', 'confidence', 'special occasion', 'appearance']"
true,To save money and take advantage of discounts during Prime Day,Functional,"The user is motivated by the desire to purchase favorite beauty and skincare products at discounted prices, maximizing value through sales events.","Cost savings, efficiency in shopping",Moderate,seventh excerpt,"['So many amazing deals are already dropping, including 30% off @bareminerals', 'Sooo excited!! love a good sale 🙌']","['shopping', 'discounts', 'sales', 'Prime Day', 'value']"
true,To nourish and restore my skin's elasticity and achieve a lit-from-within glow.,Functional,"The user seeks a skincare product that deeply nourishes the skin and enhances its elasticity to improve appearance and health, driven by a desire for youthful, radiant skin.","Skin health, youthful appearance, confidence",Critical driver,Wonderfat product description,"['melts into the skin to deeply nourish, restore elasticity, and deliver a lit-from-within glow', 'My dry skin needs this!', 'It glides on your skin so smoothly!']","['nourish', 'elasticity', 'glow', 'skin health', 'skincare']"
