Category,Theme,Motivation,Category Description,Motivation Description,Evidence Snippets,Subtheme Description
Achievement and Self-Improvement,Skill Acquisition and Mastery,They are driven to develop their skills and grow personally.,"Motivations driven by the desire to attain personal success, accomplishments, and recognition.",Aiming to improve personal skills and knowledge.,They seek to improve themselves|Personal growth is a priority|Skill development motivates them,"Motivations centered on self-improvement, skill development, and mastery."
Achievement and Self-Improvement,Goal-Oriented Motivation,They seek to improve their mental health and emotional resilience.,"Motivations driven by the desire for self-improvement, mastery, and reaching personal goals.",Motivations focused on enhancing mental well-being.,Motivated by the desire to feel mentally stronger and more balanced.|Seeking ways to improve emotional well-being.,"Motivations driven by the desire to better oneself mentally, physically, or emotionally."
Achievement and Self-Improvement,Performance Enhancement,They are motivated to reach significant milestones in their lives.,"Motivations driven by the desire to improve oneself, attain goals, and develop new skills.",The drive to attain specific milestones or benchmarks.,They are motivated to reach significant milestones in their lives.|Striving to hit important benchmarks.,"Motivations driven by the desire to achieve success, recognition, or milestones."
Achievement and Self-Improvement,Performance Enhancement,They want to get promoted to a higher position at work.,"Motivations related to self-improvement, reaching goals, and personal development.",Seeking higher position and recognition in their career.,Aspires to climb the corporate ladder|Seeking recognition and higher status|Wants to advance their career|Looking for promotion opportunities,"Motivations driven by professional success, career progression, and recognition in the workplace."
Achievement and Self-Improvement,Performance Enhancement,They want to complete their projects successfully.,"Motivations driven by the desire to accomplish goals, succeed, and gain a sense of achievement.",The desire to finish tasks and projects successfully.,They want to complete their projects successfully.|Finish tasks on time.|Achieve set objectives.,Motivations focused on reaching specific personal or professional goals.
Achievement and Self-Improvement,Fashion and Appearance,They are motivated to win or achieve their goals.,"Motivations driven by the desire to improve oneself, gain skills, or achieve personal milestones.",Driven by the desire to succeed and reach set objectives.,They are motivated to win or achieve their goals.|Pursuing success in competitions or personal aims.,Motivations centered on excelling in tasks and achieving success.
Achievement and Self-Improvement,Goal-Oriented Motivation,They aim to perform well and meet their goals.,"Motivations centered around attaining success, recognition, and reaching personal or external benchmarks.",Desire to excel in tasks and meet high standards.,Achieving high performance motivates them|They strive to meet or surpass standards|Success in tasks is a key driver|They are motivated by tangible results,Motivations driven by setting and achieving specific objectives.
Achievement and Self-Improvement,Skill Development and Learning,They aim to improve their physical and mental health.,"Motivations driven by the desire to improve oneself, achieve goals, and fulfill personal potential.",Desire to improve physical and mental health.,They want to stay healthy and maintain wellness.|They are motivated to adopt healthier habits.,"Motivations centered around enhancing personal well-being, habits, and overall quality of life."
Achievement and Self-Improvement,Goal Achievement and Success,They aim to reach their personal goals to feel successful.,"Motivations driven by the desire to improve oneself, reach personal goals, and develop skills or abilities.",Driven by the desire to achieve personal ambitions.,They aim to reach their personal goals to feel successful.|Motivated by the desire to accomplish what they set out to do.,Motivations centered around accomplishing specific objectives or reaching milestones.
Achievement and Self-Improvement,Skill Development and Learning,They want to acquire more knowledge about their interests.,"Motivations driven by the desire to improve oneself, gain recognition, and achieve personal success.",Desire to learn new information or deepen understanding in specific areas.,Seeks to learn new facts | Aims to deepen understanding | Wants to stay informed | Pursues educational opportunities,"Motivations centered on gaining knowledge, skills, or personal development."
Achievement and Self-Improvement,Recognition and Status,They seek public recognition for their accomplishments.,"Motivations rooted in accomplishing goals, gaining recognition, or reaching a high level of success.",The desire to be publicly acknowledged for achievements.,Desire for public recognition|Be acknowledged publicly|Gain fame for achievements,"Motivations to gain acknowledgment, respect, or high social status."
Achievement and Self-Improvement,Personal Safety,The individual wants to improve their proficiency in a specific skill or activity.,"Motivations driven by the desire to improve oneself, achieve personal goals, or gain recognition.",The desire to become proficient in a specific skill or activity.,They practice regularly to master the skill.|They set personal goals to track their progress.|They seek feedback to enhance their abilities.|They feel satisfied when they see improvement.,"Motivations focused on developing skills, knowledge, or personal qualities to become better."
Achievement and Self-Improvement,Recognition and Status,They aim to earn respect from their peers.,"Motivations driven by the desire to improve oneself, achieve goals, and attain a sense of mastery.",The desire to be respected and acknowledged by others.,They aim to earn respect from their peers.|Respect from others boosts self-esteem.,"Motivations related to gaining recognition, respect, or status from others."
Achievement and Self-Improvement,Self-Improvement,They want to build better habits to improve their daily routine.,"Motivations driven by a desire to improve oneself, achieve goals, and develop skills or qualities.",The motivation to develop and maintain positive habits.,They want to build better habits to improve their daily routine.|Motivated to establish positive routines.,"Motivations centered around enhancing personal qualities, habits, or behaviors."
Achievement and Self-Improvement,Skill Development and Learning,They are motivated to learn new skills to enhance their abilities.,"Motivations driven by the desire to attain personal goals, improve skills, or gain recognition for accomplishments.",Motivated by the desire to learn new skills to improve personal or professional capabilities.,They are motivated to learn new skills to enhance their abilities.|Seeking growth through skill acquisition.,Motivations centered on acquiring new skills or knowledge to enhance personal or professional competence.
Achievement and Self-Improvement,Recognition and Status,They seek recognition for their achievements.,"Motivations driven by the desire to attain personal goals, improve skills, or gain recognition for accomplishments.",Motivated by the desire to be recognized or acknowledged for achievements.,They seek recognition for their achievements.|Desire for acknowledgment from peers.,"Motivations related to gaining recognition, awards, or social status for achievements."
Achievement and Self-Improvement,Recognition and Status,He wants to be recognized and admired by his peers.,"Motivations driven by the desire to attain personal goals, recognition, and a sense of accomplishment.",Seeking acknowledgment from others to enhance self-worth.,He desires recognition and admiration from others.|He seeks approval from his social circle.,"Motivations focused on gaining social recognition, status, or admiration from others."
Achievement and Self-Improvement,Recognition and Status,They seek approval and validation from their social circle.,"Motivations driven by the desire to attain goals, recognition, and a sense of accomplishment.",Motivated by the need for approval and validation from others.,They look for social acceptance | They want validation from peers | Motivated by approval | Desire for social recognition,"Motivations centered around gaining acknowledgment, praise, or social approval."
Aesthetic and Experiential Satisfaction,Fashion and Appearance,They are motivated by the appreciation of beauty and appealing design.,"Motivations driven by the pursuit of aesthetic pleasure, sensory experiences, or emotional fulfillment.",Motivated by the appreciation of beauty and design aesthetics.,Seeking beautiful and well-designed products | Motivated by aesthetic appeal | Appreciation for artistic expression | Desire for visually pleasing experiences,"Motivations centered on appreciating beauty, design, or artistic expression."
Aesthetic and Experiential Satisfaction,Mental and Emotional Well-being,They are motivated by the desire to enjoy and have fun.,"Motivations driven by the pursuit of aesthetic pleasure, sensory experiences, or emotional fulfillment.","Motivated by the desire for enjoyment, fun, and leisure.",Seeking fun and entertainment | Motivated by enjoyable experiences | Desire for leisure activities | Pursuit of happiness through entertainment,Motivations focused on experiencing positive emotions or memorable moments.
Aesthetic and Experiential Satisfaction,Influence of External Rewards,He works hard to earn more money.,"Motivations driven by external factors such as societal expectations, approval, and comparisons.",Motivated by monetary rewards or financial gain.,He is motivated by earning more income.|Financial rewards motivate his actions.,Motivations driven by tangible external rewards or incentives.
Autonomy and Personal Freedom,Freedom of Choice,They want to be independent and make their own choices.,"Motivations centered on independence, control over choices, and self-determination.",The wish to be autonomous and self-reliant.,They seek independence to control their lives.|Desire to rely on themselves.,Motivations driven by the desire to make independent decisions without external constraints.
Autonomy and Personal Freedom,Innovation and Creativity,They want to keep their skin healthy and looking good.,Motivations driven by the desire to enhance physical appearance or personal style.,Motivation to maintain healthy and attractive skin.,They are motivated to follow skincare routines for better skin.|Maintaining skin health and appearance is important.,Motivations focused on enhancing physical attractiveness through grooming and beauty routines.
Avoidance of Negative Outcomes,Preventing Discomfort or Harm,They want to avoid feeling embarrassed in social situations.,Motivations centered around preventing undesirable experiences or consequences.,Motivated to prevent feelings of embarrassment or shame.,Wants to prevent embarrassment|Fears shame in public,"Motivations to avoid physical, emotional, or social discomfort."
Environmental and Moral Responsibility,Material Rewards and Incentives,He is motivated to live sustainably to protect the environment.,"Motivations motivated by ethical considerations, environmental concern, and social responsibility.",Commitment to eco-friendly and sustainable practices.,Motivated to live sustainably|Wants to reduce environmental impact,Motivations driven by the desire to protect and preserve the environment.
Environmental and Moral Responsibility,Self-Representation in Social Contexts,He is motivated to donate to charity.,"Motivations motivated by ethical considerations, environmental concern, and social responsibility.",Desire to donate or contribute to charitable causes.,Motivated to donate to charity|Wants to support social causes,Motivations rooted in ethical principles and social good.
Experiential and Emotional Engagement,Innovation and Creativity,They value honesty and transparency in their actions.,"Motivations driven by ethical beliefs, values, and moral standards guiding behavior.",Motivation to be truthful and transparent.,They seek to be honest|They value truthfulness|Transparency motivates them,Motivations to act truthfully and uphold moral standards.
Experiential and Emotional Engagement,Social Validation,He wants to live honestly and uphold his integrity.,"Motivations based on adherence to personal, cultural, or moral values guiding behavior.",Motivated by the desire to act truthfully and with integrity.,He is committed to honesty | He aims to act with integrity,Motivations driven by the desire to act according to ethical standards and principles.
Financial Security and Prosperity,Wealth Accumulation,They aim to earn more money to improve their financial situation.,"Motivations driven by the desire to attain financial stability, independence, or wealth.",Motivated by the desire to increase income and financial resources.,Seeking higher income | Desire to increase earnings | Focused on earning more | Improving financial resources,Motivations focused on increasing personal or family wealth.
Financial Security and Prosperity,Financial Security,They are motivated to achieve financial independence.,"Motivations related to achieving financial stability, independence, and economic well-being.",The desire to be financially independent and self-sufficient.,They want financial independence | Focused on self-sufficiency | Driven to be financially autonomous.,Motivations to attain the freedom from financial reliance on others.
