Select,Motivation_Statement,Motivation_Type,Description,Underlying_Need_Or_Desire,Strength_Or_Importance_Indication,Source_Document_Reference,Evidence_Snippets,Keywords
true,To wake up feeling refreshed and avoid the annoyance of an irritating alarm,Emotional,"The user is motivated by the desire to wake up comfortably without the stress or frustration caused by a loud or bothersome alarm, seeking a more pleasant waking experience.",Relief from stress and a peaceful start to the day,Critical for a positive morning experience,3.53318E+18,"[""Turn off the alarm it's so annoying"", 'Alarm ringing in but you are never going to wakeup again', 'Because of this freaking alarm, I started to wake up 5 min earlier to turn it off']","['alarm', 'wake up', 'stress relief', 'refreshment', 'morning']"
true,To improve sleep quality by maintaining proper sleeping posture,Functional,"The user desires to sleep in a correct position to enhance sleep quality and wake up feeling better, rooted in the need for health and physical comfort.","Health, comfort, and effective rest",Important for health and well-being,3.46028E+18,"['Is your sleeping position affecting your sleep quality?', 'Check out the comparison between wrong and right sleeping postures', ""Let's improve our sleep and wake up refreshed!""]","['sleep posture', 'sleep quality', 'health', 'comfort', 'rest']"
true,To achieve better sleep and health through natural and holistic methods like acupressure,Functional,"The user seeks to enhance sleep and overall wellness by using natural remedies such as acupressure points, driven by the desire for a holistic and non-invasive health improvement.","Health, natural healing, and self-care",Strong motivation for health improvement,3.49976E+18,"['Boosting wellness through acupressure!', 'Discover these powerful points for clear skin, period relief, better sleep, and a healthy cycle.', 'Follow @yoga_with_kunwar certified yoga teacher']","['acupressure', 'wellness', 'sleep', 'health', 'natural remedies']"
true,To manage sleep-related health conditions such as sleep apnea effectively,Functional,"The user is motivated by the need to control or cope with sleep apnea, aiming for better breathing and sleep quality, often through tools like CPAP or behavioral management.","Security, health, and effective management of sleep disorders",Critical for health and safety,3.60503E+18,"['POV: You’re trying to manage sleep apnea', 'She’s managing boundaries', '#sleepapneaawareness']","['sleep apnea', 'health', 'breathing', 'management', 'safety']"
true,To improve sleep quality and avoid nightly discomfort.,Functional,"Users are motivated by health benefits associated with proper sleep positions, such as reduced pain, better digestion, and overall well-being, driven by the desire to maintain their health and avoid pain.","Health, Pain Relief, Comfort",Critical driver for health-conscious users.,Document with user ID 8970885054 (first excerpt).,"['Best positions for sleep & spine health: Back sleeping with a small pillow under knees keeps spine neutral.', 'Good posture at night = better energy, digestion, skin & mood during the day.', 'Thousands have already improved sleep and said goodbye to daily pain.']","['sleep position', 'health', 'pain relief', 'posture', 'well-being']"
true,To find a way to sleep despite difficulties or restrictions.,Emotional,"Users express frustration and desperation about their inability to sleep normally, driven by emotional distress and the need for restful sleep.","Rest, Relief from frustration, Emotional well-being",Major motivator due to emotional distress.,Document with user ID 71359932 (second excerpt).,"[""How tf am I supposed to sleep then lmao | Moral - Don't sleep."", 'I strictly sleep standing up | So basically don’t sleep.', 'I just won’t sleep.']","['sleep difficulty', 'desperation', 'frustration', 'alternative sleep methods']"
true,To establish a consistent sleep schedule for better health and productivity.,Functional,Users are motivated by the desire to regulate their sleep patterns to improve overall health and daily functioning.,"Routine, Health, Productivity",Important for health management.,Document with user ID 63135750 (third excerpt).,"['Gotta start working on that sleep schedule.', ""It's 1:10 am | I didn't even go to sleep today."", 'Stop trying to sleep late, start working on a schedule.']","['sleep schedule', 'routine', 'health', 'productivity']"
true,To adhere to religious practices and beliefs about sleep positions.,Social,"Users are motivated by cultural and religious teachings, specifically following Islamic sunnah and teachings of Prophet Muhammad about sleeping on the right side for health and spiritual reasons.","Belonging, Spirituality, Cultural adherence",Strong motivator linked to faith and tradition.,Document with user ID 55619725 (fourth excerpt).,"['In Islam, we are encouraged to sleep on the right side.', 'Prophet Muhammad used to sleep on his right side.', 'In Islam, sleeping on the right side is sunnah.']","['Islam', 'religious practice', 'cultural', 'faith', 'sunnah']"
true,To optimize sleep position for health benefits such as digestion and detoxification.,Functional,"Users seek to improve their health by choosing sleep positions that enhance digestion, reduce acid reflux, and promote detoxification based on scientific and holistic health advice.","Health, Wellness, Vitality",High importance for health-conscious individuals.,Document with user ID 631685 (fifth excerpt).,"['Sleeping on your left side helps stomach empty faster and reduces acid reflux.', 'Supports heart health and improves brain waste removal.', 'Over 70% of people sleep in the wrong position and wonder why they feel tired.']","['sleep position', 'health', 'digestion', 'detox', 'wellness']"
true,To improve my sleep quality and reduce stress before bedtime,Emotional,"Users express a desire to relax their mind and achieve restful sleep, driven by feelings of stress and mental exhaustion accumulated throughout the day.","Relief from stress, mental calmness, relaxation",Critical for well-being,Document 1,"['Let your mind rest from the constant stress it has to endure throughout the day.', 'This is a before and after bedtime.']","['sleep', 'stress relief', 'relaxation']"
true,To wake up feeling refreshed and energized,Emotional,"Users are seeking to establish a sleep schedule or routine that allows them to wake up feeling revitalized, often motivated by fatigue or tiredness.","Restoration of energy, health, and well-being",High importance,Document 3,"['Fix your sleep schedule.', 'I sleep at 11 pm then woke up 11 am (slept for 13 hrs).']","['sleep schedule', 'energy', 'rest']"
