Theme,Frequency,Percentage
Recognition and Status,20,11.11111111111111
Skill Development and Learning,14,7.777777777777778
Performance Enhancement,12,6.666666666666667
Building Relationships,12,6.666666666666667
Financial Security,12,6.666666666666667
Skill Acquisition and Mastery,11,6.111111111111111
Fashion and Appearance,11,6.111111111111111
Self-Representation in Social Contexts,9,5.0
Mental and Emotional Well-being,6,3.3333333333333335
Physical Health,6,3.3333333333333335
Sensory and Aesthetic Satisfaction,5,2.7777777777777777
Innovation and Creativity,5,2.7777777777777777
Authenticity and Self-Expression,5,2.7777777777777777
Practical Utility and Convenience,5,2.7777777777777777
Desire for Social Approval,5,2.7777777777777777
Cultural and Moral Values,4,2.2222222222222223
Goal-Oriented Motivation,4,2.2222222222222223
Community and Social Engagement,4,2.2222222222222223
Personal Safety,3,1.6666666666666667
Material Possessions,3,1.6666666666666667
Material Rewards and Incentives,3,1.6666666666666667
Meeting Basic Needs,2,1.1111111111111112
Material Comfort,2,1.1111111111111112
Goal Achievement and Success,2,1.1111111111111112
Approval and Acceptance,1,0.5555555555555556
Performance and Activity Suitability,1,0.5555555555555556
Time Saving,1,0.5555555555555556
Pleasure and Fun,1,0.5555555555555556
Moral Integrity,1,0.5555555555555556
Influence of External Rewards,1,0.5555555555555556
Altruism and Helping Others,1,0.5555555555555556
Personal Milestones,1,0.5555555555555556
Freedom of Choice,1,0.5555555555555556
Contributing to Society or a Cause,1,0.5555555555555556
Wealth Accumulation,1,0.5555555555555556
Social Validation,1,0.5555555555555556
Self-Improvement,1,0.5555555555555556
Preventing Discomfort or Harm,1,0.5555555555555556
Strengthening Existing Bonds,1,0.5555555555555556
